id,title,journal,year,source_class,identifier,id_kind,verified,retrieval_status,mechanism_nodes,cohorts,has_abstract,abstract_source,link,caveat
kmv-001,Vaccines and sudden infant death: An analysis of the VAERS database 1990-2019 and review of the medical literature (Miller NZ),Toxicology Reports,2021,retracted,10.1016/j.toxrep.2021.06.020,doi,yes,POINTER_ONLY,passive_surveillance|temporal_reporting_bias|denominator_absence|causation_inference|incubation_period_defense|susceptibility_subset,SIDS|infant_death,no,,https://doi.org/10.1016/j.toxrep.2021.06.020,caveat:L1_literature_index;not_medical_advice;retracted_retained_not_deleted;source_class_retracted_2026-05-26;ACTUAL_CLAIM_n2605_58pct_within_3d_78.3pct_within_7d;author_states_not_proof_but_highly_suggestive;anticipates_reporting_bias_via_day-after-peak_incubation_argument;argues_denominator_not_decisive_UNFALSIFIABLE;rebuttal_circadian_discovery+age_confound+no_denominator;pmid_34258234
kmv-002,Retraction notice: Vaccines and sudden infant death (Toxicology Reports),Toxicology Reports,2026,retraction_notice,S2214750026000521,pii,yes,POINTER_ONLY,retraction_ethics|editorial_transparency|methodology_critique,SIDS|infant_death,no,,https://www.sciencedirect.com/science/article/pii/S2214750026000521,caveat:L1_literature_index;not_medical_advice;primary_editorial_document;states_conclusions_not_supported_by_methodology;two_sentence_notice_disputed_by_HHS;COPE_requires_stated_reason
kmv-003,Retractions: guidance from the Committee on Publication Ethics (COPE) (Wager E et al),Croatian Medical Journal,2009,guidance,20017220,pmid,yes,POINTER_ONLY,retraction_ethics|editorial_transparency,na,no,,https://pubmed.ncbi.nlm.nih.gov/20017220/,caveat:L1_literature_index;not_medical_advice;publication_ethics_guidance;notice_of_retraction_should_state_reasons;doi_10.3325/cmj.2009.50.532
kmv-004,Fatal anaphylactic shock; occurrence in identical twins following second injection of diphtheria toxoid and pertussis antigen (Werne J Garrow I),JAMA,1946,observational,20987418,pmid,yes,POINTER_ONLY,anaphylaxis|temporal_association,infant_death|twins,no,,https://pubmed.ncbi.nlm.nih.gov/20987418/,caveat:L1_literature_index;not_medical_advice;historical_case_report_n2;cited_as_corroborating_literature_by_kmv-001;correlation_is_not_causation;doi_10.1001/jama.1946.02870260014003
kmv-005,Sudden infant death following hexavalent vaccination: a neuropathologic study (Matturri L et al),Current Medicinal Chemistry,2014,observational,24083600,pmid,yes,POINTER_ONLY,neuropathology|brainstem|temporal_association,SIDS|infant_death,no,,https://pubmed.ncbi.nlm.nih.gov/24083600/,caveat:L1_literature_index;not_medical_advice;single_case_neuropathologic_study;mechanistic_hypothesis;cited_as_corroborating_literature_by_kmv-001;correlation_is_not_causation;doi_10.2174/09298673113206660289
kmv-006,VAERS Data Use Guide - stimulated/temporal reporting note,HHS / CDC / FDA,2026,gov_methodology,vaers.hhs.gov/data/dataguide.html,url,yes,VERIFIED,passive_surveillance|stimulated_reporting|temporal_reporting_bias|denominator_absence|underreporting,na,yes,vaers.hhs.gov,https://vaers.hhs.gov/data/dataguide.html,caveat:L1_literature_index;not_medical_advice;keystone_methodology_source;quote_serious_unexpected_events_more_likely_reported_soon_after_vaccination_even_if_coincidental;reporting_rates_are_not_incidence_rates;causation_not_established_by_VAERS
kmv-007,Letter from the Secretary of HHS to Editor-in-Chief Toxicology Reports re removal of Miller article (Kennedy RF Jr to Lash LH),HHS Office of the Secretary,2026,official_correspondence,HHS-SEC-2026-06-11,doc,yes,VERIFIED,editorial_transparency|retraction_ethics|research_integrity,SIDS|infant_death,yes,uploaded_pdf,https://x.com/SecKennedy,caveat:L1_literature_index;not_medical_advice;primary_correspondence_not_peer_reviewed_evidence;demands_transparency_on_removal_decision;dated_2026-06-11;response_requested_by_2026-06-25
kmv-008,VAERS days-to-onset distribution - infant vs control sample pull (Garrison Node / meridian-north),meridian-north pharmacovigilance corpus,2026,gov_methodology,doo_distribution_sample.csv,dataset,yes,VERIFIED,passive_surveillance|temporal_reporting_bias|stimulated_reporting|denominator_absence,SIDS|infant_death|control,yes,vaers_69col_1990_2026,./doo_distribution_sample.csv,caveat:L1_literature_index;not_medical_advice;derived_from_VAERS_1990_2026_n1989028;days_to_onset_clustering_present_in_ALL_cohorts_including_nonfatal_and_baseline;clustering_tracks_reporting_behavior_not_a_causal_hazard_window;no_denominator;a_report_is_not_causation
kmv-009,VAERS infant death age-of-death distribution vs background SIDS window (v2 observed-vs-expected),meridian-north pharmacovigilance corpus,2026,gov_methodology,age_of_death_infant_v2.csv,dataset,yes,VERIFIED,age_confound|schedule_sids_coincidence|denominator_absence|self_controlled_case_series,SIDS|infant_death,yes,vaers_69col_1990_2026,./age_of_death_infant_v2.csv,caveat:L1_literature_index;not_medical_advice;85.8pct_of_infant_deaths_before_6mo_and_74.5pct_in_2-5mo_window;vaccine_schedule_2-4-6mo_confounded_with_background_SIDS_peak_2-4mo;no_vaccinated_denominator;observed_vs_expected_requires_denominator_or_SCCS;a_report_is_not_causation
kmv-010,The Epidemiology of SIDS and SUID - age distribution (NICHD/CDC review),NCBI Bookshelf NBK513373,2018,review,NBK513373,url,yes,POINTER_ONLY,age_distribution|background_mortality,SIDS|infant_death,yes,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/books/NBK513373/,caveat:L1_literature_index;not_medical_advice;background_anchor_SIDS_peak_2-3mo_~80pct_by_4mo_~90-95pct_before_6mo;used_to_contextualize_kmv-009
kmv-011,US vs Nordic SUID cross-national denominator comparison (kind-gather sweep),WHO Mortality Database,2026,gov_methodology,suid_crossnational_ok_rows.csv,dataset,yes,VERIFIED,denominator_present|composite_R95+R99+W75|diagnostic_shift|ecological_comparison|sleep_certification_confound,SIDS|infant_death,yes,who.int,./suid_crossnational_ok_rows.csv,caveat:L1_literature_index;not_medical_advice;gathered_WHO_MDB_2026-06-16_source_of_record;SUID=R95+R99+W75_composite_per_100k_live_births;US_~86-101_flat_1999-2023_vs_Nordic_~15-55_but_similar_schedules_so_gap_is_NOT_vaccine;ecological_rate_cannot_isolate_vaccination;US_series_completed_WHO_deaths+NCHS_births_join_from_2006_two_source_flagged;US_internal_diagnostic_shift_R95_down_R99_W75_up_composite_flat;DK_R99_recoding_2007-2010_inflates_composite;rate_is_not_cause
kmv-012,Batch/lot comparability and the 'hot lots' artifact,FDA / methodological note,2026,gov_methodology,vaxopedia.org/2016/09/17/hot-lots,url,yes,VERIFIED,lot_size_denominator_absent|hot_lots_artifact|product_schedule_heterogeneity|non_harmonized_lots,infant_death|all,yes,fda+vaxopedia,https://vaxopedia.org/2016/09/17/hot-lots/,caveat:L1_literature_index;not_medical_advice;VAERS_gives_reports_per_lot_NOT_doses_per_lot;lot_sizes_vary_thousands_to_millions_so_raw_lot_counts_uninterpretable;hot_lot_is_usually_the_big_long-circulating_lot;FDA_lots_too_variable_to_set_count_trigger;genuine_bad_batches_caught_by_QC_and_recall_not_by_report_ranking;cross-country_products_and_schedules_differ_US_~30doses_birthHepB_vs_Nordic_3-5-11;lots_not_harmonized_or_shared_across_countries;batch_comparison_invalid_in_both_directions;numerator_without_denominator_at_batch_grain
kmv-013,The outcome space - MedDRA event dictionary and the multiple-comparisons trap,FDA / MedDRA methodological note,2026,gov_methodology,21CFR201.57,url,yes,VERIFIED,outcome_space|meddra_26k_PT_27_SOC|multiplicity|package_insert_6.1_controlled_vs_6.2_spontaneous|FDR_correction,all|infant_death,yes,fda+meddra,https://www.law.cornell.edu/cfr/text/21/201.57,caveat:L1_literature_index;not_medical_advice;package_insert_6.2_states_cannot_establish_causation;~26000_MedDRA_PTs_across_27_SOC;scanning_whole_space_yields_5pct_false_positives_by_chance;cherry-pick_scariest_or_safest_outcome_is_the_trick;honest_method_tests_whole_space_with_FDR_correction;PHMPT_22_comparisons_0_survived;listing_is_not_causation
